Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,1167.250000,1170.000000,1111.500000,1119.849976,1119.849976,1892105
2021-06-29,1120.000000,1145.000000,1100.099976,1126.300049,1126.300049,1995959
2021-06-30,1120.000000,1140.000000,1101.550049,1124.900024,1124.900024,1856503
2021-07-01,1124.900024,1128.400024,1068.699951,1068.699951,1068.699951,231561
2021-07-02,1015.299988,1063.000000,1015.299988,1015.299988,1015.299988,151999
2021-07-05,966.000000,1000.000000,964.549988,964.549988,964.549988,163265
2021-07-06,916.349976,1012.750000,916.349976,1012.750000,1012.750000,342899
2021-07-07,1011.000000,1035.000000,962.150024,1017.049988,1017.049988,247291
2021-07-08,1027.000000,1060.000000,1001.000000,1028.650024,1028.650024,166271
2021-07-09,1025.000000,1040.000000,1001.000000,1019.400024,1019.400024,91944
2021-07-12,1002.349976,1029.000000,1002.000000,1004.200012,1004.200012,61803
2021-07-13,1014.000000,1015.750000,979.799988,989.200012,989.200012,109696
2021-07-14,1009.000000,1015.000000,950.000000,979.700012,979.700012,422385
2021-07-15,975.000000,1005.000000,960.000000,995.799988,995.799988,125826
2021-07-16,996.000000,1020.000000,970.000000,1008.650024,1008.650024,235508
2021-07-19,1008.000000,1008.000000,970.000000,979.150024,979.150024,114607
2021-07-20,930.200012,960.950012,930.200012,945.099976,945.099976,211121
2021-07-22,920.000000,992.349976,900.000000,988.250000,988.250000,296802
2021-07-23,989.000000,991.000000,951.250000,980.250000,980.250000,79379
2021-07-26,975.000000,975.000000,935.099976,942.200012,942.200012,95733
2021-07-27,942.200012,950.000000,905.000000,914.450012,914.450012,110537
2021-07-28,915.500000,953.000000,875.000000,945.650024,945.650024,163911
2021-07-29,950.750000,955.000000,910.000000,924.299988,924.299988,95929
2021-07-30,930.849976,935.000000,878.099976,882.299988,882.299988,238191
2021-08-02,882.400024,900.000000,874.799988,876.150024,876.150024,1113774
2021-08-03,888.000000,915.000000,877.000000,890.900024,890.900024,1372522
2021-08-04,905.000000,915.000000,880.000000,898.150024,898.150024,1317233
2021-08-05,910.000000,910.000000,880.000000,889.650024,889.650024,1447231
2021-08-06,892.000000,921.000000,882.000000,910.549988,910.549988,1079251
2021-08-09,913.000000,919.000000,890.000000,906.549988,906.549988,1809323
2021-08-10,915.000000,921.000000,890.000000,908.400024,908.400024,2775029
2021-08-11,908.400024,912.000000,875.000000,901.500000,901.500000,2606211
2021-08-12,890.000000,920.000000,885.000000,913.700012,913.700012,2615374
2021-08-13,902.049988,921.000000,902.049988,919.099976,919.099976,2478660
2021-08-16,919.000000,930.000000,905.000000,925.250000,925.250000,2532972
2021-08-17,927.000000,940.000000,927.000000,936.849976,936.849976,2111296
2021-08-18,950.000000,955.000000,929.049988,942.500000,942.500000,2934048
2021-08-20,938.950012,938.950012,925.000000,935.849976,935.849976,2465015
2021-08-23,935.000000,953.000000,914.000000,933.650024,933.650024,2179201
2021-08-24,936.000000,977.000000,933.650024,949.700012,949.700012,2838887
2021-08-25,954.000000,997.150024,954.000000,997.150024,997.150024,2263117
2021-08-26,1040.000000,1047.000000,1017.099976,1046.449951,1046.449951,1686596
2021-08-27,1050.000000,1060.000000,998.000000,1049.099976,1049.099976,2132213
2021-08-30,1040.000000,1063.000000,1015.000000,1060.349976,1060.349976,2426934
2021-08-31,1053.949951,1100.000000,1040.000000,1068.349976,1068.349976,2737522
2021-09-01,1075.000000,1098.800049,1065.099976,1079.800049,1079.800049,1520928
2021-09-02,1060.000000,1090.000000,1059.000000,1085.349976,1085.349976,1483278
2021-09-03,1097.000000,1097.500000,1061.199951,1081.349976,1081.349976,1093470
2021-09-06,1099.000000,1135.000000,1085.199951,1112.750000,1112.750000,674863
2021-09-07,1120.000000,1130.000000,1080.000000,1110.050049,1110.050049,244582
2021-09-08,1091.550049,1165.550049,1091.550049,1158.300049,1158.300049,742832
2021-09-09,1170.000000,1216.199951,1148.500000,1215.949951,1215.949951,582097
2021-09-13,1215.000000,1219.900024,1166.050049,1185.199951,1185.199951,713024
2021-09-14,1189.000000,1208.400024,1133.099976,1149.400024,1149.400024,903673
2021-09-15,1160.500000,1169.000000,1120.000000,1126.949951,1126.949951,568745
2021-09-16,1137.000000,1180.250000,1110.449951,1169.650024,1169.650024,581390
2021-09-17,1184.000000,1184.000000,1120.000000,1153.250000,1153.250000,821213
2021-09-20,1145.949951,1145.949951,1112.050049,1131.150024,1131.150024,1781350
2021-09-21,1115.000000,1127.000000,1097.250000,1120.699951,1120.699951,1798120
2021-09-22,1147.400024,1163.500000,1127.050049,1141.550049,1141.550049,2248068
2021-09-23,1150.000000,1160.000000,1118.750000,1149.199951,1149.199951,2615150
2021-09-24,1149.199951,1159.000000,1125.250000,1151.800049,1151.800049,3334805
2021-09-27,1157.000000,1159.500000,1127.000000,1153.449951,1153.449951,3249556
2021-09-28,1158.000000,1160.000000,1132.250000,1144.500000,1144.500000,3469774
2021-09-29,1130.000000,1149.800049,1111.250000,1138.650024,1138.650024,3694509
2021-09-30,1139.000000,1159.000000,1125.000000,1146.599976,1146.599976,1551279
2021-10-01,1147.949951,1189.900024,1146.599976,1151.050049,1151.050049,447943
2021-10-04,1161.000000,1180.000000,1152.250000,1176.099976,1176.099976,278908
2021-10-05,1203.000000,1230.000000,1199.300049,1222.199951,1222.199951,583547
2021-10-06,1231.900024,1264.800049,1203.300049,1214.599976,1214.599976,375503
2021-10-07,1225.000000,1237.000000,1202.099976,1205.650024,1205.650024,179544
2021-10-08,1219.800049,1220.000000,1152.050049,1176.550049,1176.550049,174740
2021-10-11,1199.300049,1211.199951,1159.000000,1162.099976,1162.099976,181216
2021-10-12,1185.000000,1220.000000,1150.000000,1208.349976,1208.349976,418421
2021-10-13,1208.349976,1220.000000,1180.000000,1193.500000,1193.500000,265060
2021-10-14,1203.000000,1212.250000,1196.099976,1206.550049,1206.550049,250393
