Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,549.750000,550.799988,544.250000,547.400024,541.998108,3259830
2021-06-29,547.799988,553.750000,541.000000,542.599976,537.245422,7927880
2021-06-30,544.849976,548.000000,542.000000,545.650024,540.265381,4293322
2021-07-01,545.000000,545.900024,538.000000,539.349976,534.027527,4329374
2021-07-02,540.099976,542.299988,533.599976,538.599976,533.284912,4157307
2021-07-05,542.900024,542.900024,535.549988,536.349976,531.057129,3439169
2021-07-06,536.549988,538.299988,531.849976,532.599976,527.344116,4193441
2021-07-07,534.049988,536.400024,525.099976,532.150024,526.898621,5377687
2021-07-08,533.900024,536.950012,528.000000,531.000000,525.759888,4565510
2021-07-09,527.400024,530.950012,523.250000,525.799988,520.611267,5724608
2021-07-12,530.750000,532.150024,523.200012,525.849976,520.660706,3865556
2021-07-13,528.000000,529.500000,522.599976,524.849976,519.670593,4172358
2021-07-14,526.250000,563.299988,525.599976,561.700012,556.156982,29348083
2021-07-15,561.000000,579.650024,559.000000,575.900024,570.216858,31066201
2021-07-16,580.000000,589.250000,568.299988,577.750000,572.048523,36907827
2021-07-19,572.549988,584.000000,570.000000,573.799988,568.137573,10857851
2021-07-20,575.700012,578.150024,561.549988,568.099976,562.493774,10523527
2021-07-22,577.099976,585.000000,571.000000,584.200012,578.434937,12043385
2021-07-23,586.500000,601.799988,583.700012,599.150024,593.237427,14057455
2021-07-26,600.099976,600.500000,588.250000,590.450012,584.623291,6099903
2021-07-27,588.900024,594.650024,584.150024,591.450012,585.613403,3983137
2021-07-28,590.950012,593.349976,583.000000,591.950012,586.108459,4573930
2021-07-29,593.599976,598.000000,587.900024,590.450012,584.623291,5834470
2021-07-30,588.849976,593.000000,585.000000,587.150024,581.355835,3178206
2021-08-02,588.200012,595.400024,582.250000,592.250000,586.405518,4623898
2021-08-03,604.000000,604.000000,594.150024,599.400024,593.484985,5165607
2021-08-04,603.500000,604.000000,594.299988,596.799988,590.910583,4509356
2021-08-05,597.500000,614.500000,597.500000,600.900024,594.970154,11294364
2021-08-06,603.750000,606.400024,596.299988,598.000000,592.098755,5270200
2021-08-09,600.000000,606.000000,595.500000,596.799988,590.910583,4646751
2021-08-10,598.400024,608.950012,593.099976,603.849976,597.890991,7027782
2021-08-11,601.900024,606.500000,598.450012,601.250000,595.316711,4282513
2021-08-12,602.000000,608.900024,600.650024,605.849976,599.871216,3952508
2021-08-13,606.000000,620.450012,606.000000,615.500000,609.426025,8364684
2021-08-16,616.099976,620.900024,610.500000,614.049988,607.990356,3572426
2021-08-17,613.750000,637.049988,611.200012,634.900024,628.634644,11822772
2021-08-18,635.750000,639.200012,624.599976,629.400024,623.188904,6923577
2021-08-20,622.500000,631.950012,618.000000,620.049988,613.931152,6170693
2021-08-23,626.000000,636.950012,623.500000,628.849976,622.644287,7036375
2021-08-24,636.000000,636.000000,624.099976,633.549988,627.297913,4483718
2021-08-25,635.000000,642.799988,629.549988,631.650024,625.416687,6407718
2021-08-26,632.200012,638.500000,626.000000,628.950012,622.743347,4208351
2021-08-27,629.500000,636.000000,625.299988,634.950012,628.684143,4371554
2021-08-30,635.950012,639.500000,630.549988,632.450012,626.208801,4371855
2021-08-31,634.599976,642.549988,628.900024,640.950012,634.624878,7795908
2021-09-01,643.799988,647.349976,635.250000,642.049988,635.714050,4725222
2021-09-02,645.000000,657.000000,640.750000,651.450012,645.021301,4538778
2021-09-03,653.000000,656.700012,649.500000,655.099976,648.635254,3774970
2021-09-06,656.650024,688.700012,656.650024,686.450012,679.675964,12338416
2021-09-07,690.000000,690.000000,672.750000,674.250000,667.596313,6406109
2021-09-08,675.400024,675.400024,660.000000,662.200012,655.665222,6716231
2021-09-09,660.900024,664.549988,654.000000,662.349976,655.813721,5805730
2021-09-13,662.349976,671.849976,657.849976,670.750000,664.130798,5588789
2021-09-14,671.000000,675.700012,670.000000,673.450012,666.804199,3661338
2021-09-15,674.000000,680.549988,670.000000,674.049988,667.398254,4145416
2021-09-16,679.750000,680.750000,665.000000,667.849976,661.259460,4657846
2021-09-17,671.400024,674.400024,662.750000,665.250000,658.685059,5407781
2021-09-20,657.750000,670.500000,653.400024,662.500000,655.962219,4546430
2021-09-21,660.500000,669.000000,657.099976,667.599976,661.011841,3683551
2021-09-22,669.000000,674.500000,663.000000,668.150024,661.556519,4791652
2021-09-23,672.900024,677.000000,671.400024,674.299988,667.645752,3231293
2021-09-24,680.500000,699.150024,675.000000,676.500000,669.824097,12126588
2021-09-27,678.049988,678.349976,651.000000,653.900024,647.447144,8399082
2021-09-28,653.900024,653.900024,635.250000,639.599976,633.288208,8112462
2021-09-29,629.950012,646.500000,627.349976,640.750000,634.426880,8839566
2021-09-30,638.750000,646.750000,632.549988,634.099976,627.842468,6013959
2021-10-01,634.799988,639.750000,630.200012,636.250000,629.971252,4208854
2021-10-04,639.900024,643.599976,635.950012,641.049988,634.723938,5247122
2021-10-05,636.450012,649.500000,634.049988,646.849976,640.466614,5456074
2021-10-06,650.400024,650.450012,634.400024,635.750000,629.476257,4836599
2021-10-07,639.000000,648.549988,636.900024,642.950012,636.605164,3724343
2021-10-08,646.150024,667.549988,645.000000,661.150024,654.625610,11045983
2021-10-11,648.950012,666.299988,635.000000,652.799988,646.357910,10211466
2021-10-12,652.000000,662.400024,642.549988,659.099976,652.595764,9340216
2021-10-13,665.000000,674.700012,656.000000,672.599976,665.962524,9462941
2021-10-14,697.000000,739.849976,695.000000,708.250000,701.260803,59188803
2021-10-18,719.000000,720.799988,702.400024,709.750000,702.745972,10599446
2021-10-19,717.099976,729.950012,708.000000,711.549988,704.528198,10932574
2021-10-20,713.599976,722.750000,695.750000,701.950012,695.022949,8054391
2021-10-21,708.950012,709.000000,681.700012,696.299988,689.428650,7958456
2021-10-22,701.750000,705.500000,678.250000,682.400024,675.665833,5379151
2021-10-25,682.750000,684.200012,660.799988,667.700012,661.110962,8810958
2021-10-26,671.049988,678.799988,665.000000,668.150024,661.556519,6096983
2021-10-27,668.150024,674.549988,663.450012,671.099976,664.477356,6315589
2021-10-28,671.000000,671.599976,655.000000,656.900024,650.417542,5178771
2021-10-29,658.250000,659.400024,644.250000,646.750000,640.367676,6761317
2021-11-01,651.099976,656.950012,647.500000,655.450012,648.981812,4401233
2021-11-02,657.000000,661.000000,651.099976,653.799988,647.348083,4039689
2021-11-03,659.400024,661.849976,650.200012,652.500000,646.060913,3435591
2021-11-04,655.000000,657.650024,647.400024,653.700012,647.249146,782905
2021-11-08,652.950012,661.000000,647.500000,658.349976,651.853210,4752230
2021-11-09,663.099976,666.250000,656.700012,658.450012,651.952209,4142065
2021-11-10,655.900024,659.000000,651.549988,652.599976,646.159912,4045695
2021-11-11,649.750000,649.750000,636.799988,641.799988,635.466492,6033898
2021-11-12,648.000000,662.500000,645.799988,660.049988,653.536438,6063253
2021-11-15,661.549988,666.000000,657.150024,658.900024,652.397766,4717998
2021-11-16,658.400024,668.750000,654.650024,661.450012,654.922607,5663547
2021-11-17,661.450012,668.000000,658.000000,661.799988,655.269165,4427497
2021-11-18,663.400024,665.950012,645.250000,651.450012,645.021301,3921249
2021-11-22,658.000000,660.450012,638.000000,644.049988,637.694275,5791217
2021-11-23,642.700012,648.950012,626.049988,642.799988,636.456604,4567462
2021-11-24,644.299988,647.599976,633.099976,636.500000,630.218811,3992776
2021-11-25,637.000000,641.799988,633.000000,636.700012,630.416870,3330681
2021-11-26,632.000000,634.400024,619.650024,621.450012,615.317322,4138537
2021-11-29,616.549988,632.849976,603.950012,630.599976,624.377014,5188030
2021-11-30,630.599976,645.500000,630.500000,637.250000,630.961426,13425100
2021-12-01,642.599976,645.950012,633.250000,634.799988,628.535583,4726822
2021-12-02,636.900024,648.099976,629.000000,646.799988,640.417175,5105228
2021-12-03,644.750000,653.950012,639.900024,640.750000,634.426880,6702505
2021-12-06,637.250000,644.200012,623.150024,624.500000,618.337280,4704953
2021-12-07,628.000000,634.549988,623.000000,632.400024,626.159302,4278545
2021-12-08,639.000000,653.000000,638.250000,641.700012,635.367493,7680329
2021-12-09,641.750000,647.599976,637.849976,643.200012,636.852722,3432802
2021-12-10,642.150024,645.900024,635.099976,638.250000,631.951599,4262606
2021-12-13,643.500000,656.549988,640.200012,645.400024,639.031006,6561840
2021-12-14,646.000000,651.900024,639.250000,646.900024,640.516235,4304706
2021-12-15,646.700012,646.700012,635.349976,636.400024,630.119812,3561772
2021-12-16,644.000000,649.900024,639.400024,644.299988,637.941833,6218620
2021-12-17,660.000000,676.799988,650.099976,670.799988,664.180359,52300009
2021-12-20,667.549988,677.500000,663.000000,665.950012,659.378235,13149101
2021-12-21,676.000000,697.099976,671.000000,690.799988,683.982971,13681048
2021-12-22,695.900024,695.900024,681.200012,685.650024,678.883850,6163877
2021-12-23,690.099976,702.000000,689.099976,694.549988,687.695984,6472454
2021-12-24,697.750000,702.400024,690.150024,698.450012,691.557495,6591213
2021-12-27,699.849976,701.000000,691.150024,699.599976,692.696106,5094328
2021-12-28,703.000000,707.500000,701.549988,705.450012,698.488403,5079022
2021-12-29,705.250000,710.000000,700.049988,703.700012,696.755676,3949208
2021-12-30,705.099976,719.900024,704.000000,714.099976,707.052979,9043675
2021-12-31,715.799988,718.799988,709.099976,715.349976,708.290649,4274779
